block 1000, total 34000, active 14160, size 12, leak 169920.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14160, size 12, leak 169920.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14160, size 12, leak 169920.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14158, size 12, leak 169896.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14158, size 12, leak 169896.
block 32, total 14144, active 14143, size 340, leak 4808620.
block 1000, total 34000, active 14158, size 12, leak 169896.
block 200, total 2200, active 1470, size 48, leak 70560.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14158, size 12, leak 169896.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14182, size 12, leak 170184.
block 200, total 3000, active 1642, size 48, leak 78816.
block 32, total 14208, active 14188, size 340, leak 4823920.
block 1000, total 34000, active 14158, size 12, leak 169896.
block 32, total 14176, active 14166, size 340, leak 4816440.
block 1000, total 34000, active 14166, size 12, leak 169992.
block 32, total 14176, active 14170, size 340, leak 4817800.
block 1000, total 34000, active 14168, size 12, leak 170016.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14169, size 12, leak 170028.
block 32, total 14208, active 14177, size 340, leak 4820180.
block 1000, total 34000, active 14171, size 12, leak 170052.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14176, size 12, leak 170112.
block 32, total 14176, active 14173, size 340, leak 4818820.
block 1000, total 34000, active 14171, size 12, leak 170052.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14178, size 12, leak 170136.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14168, size 12, leak 170016.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14168, size 12, leak 170016.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14168, size 12, leak 170016.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14174, size 12, leak 170088.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14174, size 12, leak 170088.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14175, size 12, leak 170100.
block 32, total 14176, active 14159, size 340, leak 4814060.
block 1000, total 34000, active 14173, size 12, leak 170076.
block 32, total 14176, active 14162, size 340, leak 4815080.
block 1000, total 34000, active 14173, size 12, leak 170076.
block 32, total 14176, active 14158, size 340, leak 4813720.
